Category Name,URL
Food Staples,//www.daraz.com.np/canned-packaged-foods/
Cooking Ingredients,//www.daraz.com.np/groceries-baking-cooking-cooking-ingredients/
Laundry & Household,//www.daraz.com.np/laundry-and-home-care/
"Wines, Beers & Spirits",//www.daraz.com.np/wines-beers-spirits/
Pet Supplies,//www.daraz.com.np/pet-supplies-shop/
Disposable Diapers,//www.daraz.com.np/baby-diapers/
Baby Gear,//www.daraz.com.np/baby-gear/
Baby Personal Care,//www.daraz.com.np/baby-personal-care/
Clothing & Accessories,//www.daraz.com.np/baby-clothings-accessories/
Diapering & Potty,//www.daraz.com.np/baby-toddler-diapers-potties/
Feeding,//www.daraz.com.np/feeding/
Nursery,//www.daraz.com.np/baby-toddler-nursery/
Baby & Toddler Toys,//www.daraz.com.np/baby-toddler-toys-games/
Toys & Games,//www.daraz.com.np/toys-games/
Remote Control & Vehicles,//www.daraz.com.np/remote-control-toys-and-play-vehicles/
Sports & Outdoor Play,//www.daraz.com.np/sports-and-outdoor-play/
Pacifiers & Accessories,//www.daraz.com.np/pacifiers-and-accessories/?spm=a2a0e.searchlist.breadcrumb.3.19cb5b37outm3t
Bath,//www.daraz.com.np/bath/
Bedding,//www.daraz.com.np/bedding/?spm=a2a0e.searchlistcategory.breadcrumb.3.6b6912c24LfJkb
Decor,//www.daraz.com.np/home-decoration/
Furniture,//www.daraz.com.np/furniture/
Kitchen & Dining,//www.daraz.com.np/kitchen-dining/
Lighting,//www.daraz.com.np/lighting/
Laundry & Cleaning,//www.daraz.com.np/laundry-cleaning/
"Tools, DIY & Outdoor",//www.daraz.com.np/home-improvement-tools/
Stationery & Craft,//www.daraz.com.np/stationery-craft/
"Media, Music & Books",//www.daraz.com.np/books-games-music/
Musical Instruments,//www.daraz.com.np/musical-instruments/
Digital Goods,//www.daraz.com.np/digital-goods/
Men Shoes & Clothing,//www.daraz.com.np/mens-sports/
Women Shoes & Clothing,//www.daraz.com.np/womens-sports/
Outdoor Recreation,//www.daraz.com.np/outdoor-activities/
Exercise & Fitness,//www.daraz.com.np/exercise-fitness/
Water Sports,//www.daraz.com.np/water-sports/
Racket Sports,//www.daraz.com.np/racket-sports/
Team Sports,//www.daraz.com.np/team-sports/
Water Bottles,//www.daraz.com.np/sports-water-bottles/
Travel & Luggage,//www.daraz.com.np/travels/
Sports Nutrition,//www.daraz.com.np/sp-nutrition/
Automotive,//www.daraz.com.np/automotive/
Motorcycles,//www.daraz.com.np/motorcycle/
Auto Care,//www.daraz.com.np/automotive-exterior-vehicle-care/
Auto Electronics,//www.daraz.com.np/car-electronics-accessories/
Moto Parts & Accessories,//www.daraz.com.np/motorcycle-parts-spares/
Motorcycle Riding Gear,//www.daraz.com.np/motorcycle-riding-gear/
Helmets,//www.daraz.com.np/motorcycle-helmets/
Gloves,//www.daraz.com.np/motorcycle-gloves/
Interior Accessories,//www.daraz.com.np/interior-accessories/
Auto Oils & Fluids,//www.daraz.com.np/engine-oils-fluids/
Auto Tires & Wheels,//www.daraz.com.np/wheels-tires/
Lubricants,//www.daraz.com.np/car-care-lubricants/?spm=a2a0e.searchlistcategory.card.1.241b5c25sIXItt&item_id=103346231&from=onesearch_category_3257
