Product Name,Product Price,Discounted Price,Customer ID,Review Date,Reviews,Image 1,Image 2,Image 3,Image 4,SKU,Helpful
Shangrila 100% Cotton Pack Of 4 T-Shirt For Men - Black | Blue |Grey | White | Fashion | T-Shirt For Men,Rs. 990,"Rs. 1,100",by 9***2,1 year ago,black rw blue colour tw khatamai raixa sab colour gaxa kako thotro kapda jasto vai sakyo
Shangrila 100% Cotton Pack Of 4 T-Shirt For Men - Black | Blue |Grey | White | Fashion | T-Shirt For Men,Rs. 990,"Rs. 1,100",by Lalit P.,1 year ago,"I ordered a total of 7 tshirts, all size 38. BUT THEIR SIZE 38 IS DIFFERENT DIFFERENT TSHIRTS!!!! WHAT IS GOING ON?"
Shangrila 100% Cotton Pack Of 4 T-Shirt For Men - Black | Blue |Grey | White | Fashion | T-Shirt For Men,Rs. 990,"Rs. 1,100",by Pawan T.,2 years ago,Out of four three colours black white and blue are fine the grey one seems used with some dark mark and also bhuwa in grey tshrit.
Shangrila 100% Cotton Pack Of 4 T-Shirt For Men - Black | Blue |Grey | White | Fashion | T-Shirt For Men,Rs. 990,"Rs. 1,100",by 9***7,2 years ago,"It is good t-shirts with Nice quality and light weight.
I will recommend to all of you .🙂🙂"
Shangrila 100% Cotton Pack Of 4 T-Shirt For Men - Black | Blue |Grey | White | Fashion | T-Shirt For Men,Rs. 990,"Rs. 1,100",by Roshan K.,1 year ago,Personally messaged for color change of t-shirt they acutally did listen and send it to me & for this price range  its Not bad !!!
